StartDate Start Date,EndDate End Date,Status Response Type,IPAddress IP Address,Progress,Duration (in seconds),Finished,RecordedDate Recorded Date,ResponseId Response ID,RecipientLastName Recipient Last Name,RecipientFirstName Recipient First Name,RecipientEmail Recipient Email,ExternalReference External Data Reference,LocationLatitude Location Latitude,LocationLongitude Location Longitude,DistributionChannel Distribution Channel,UserLanguage User Language,Q_RecaptchaScore,Q2 How old are you?,Q3 What do you consider your race or ethnicity? (Optional),Q1 What is your gender? (Optional),Q4 Are you vaccinated against COVID-19?,"Q12 Given the current vaccines, how likely are you to get vaccinated?",Q5 There can be a variety of reasons why individuals like you have not received a COVID-19 vaccination,"Q6 If there were more vaccine choices available, would you consider getting one?","Q7 If there was a vaccine developed with more conventional methods, used in common vaccines for many years, would that appeal to you more than the currently available vaccines?",Q13 If there was a vaccine developed using more conventional methods would you get it?,"Q9 If there was a vaccine with less side effects, would that appeal to you more than the currently available vaccines?","Q14 If there was a vaccine with less side effects, would you get it?","Q15 If there was a vaccine developed using conventional methods, with less side effects, would you get it?",rid,gc,state,county
2021-12-09 19:09:47,2021-12-09 19:09:56,Survey Preview,,100,9,True,2021-12-09 19:09:57,R_3fE6yS9DoGbxYLC,,,,,,,preview,EN,,25-40,Native American,Male,Yes,,,,,,,,,,2,,
2021-12-09 19:10:05,2021-12-09 19:10:16,Survey Preview,,100,10,True,2021-12-09 19:10:17,R_PRMQwzmYLmskB7b,,,,,47.2321929931640625,-121.178802490234375,preview,EN,,60+,,,No,Unsure,I don't trust in the way the current vaccines were developed.,No,No,Unsure,Yes,Very Unlikely,Somewhat Likely,,1,Washington,Kittitas County
2021-12-09 19:47:12,2021-12-09 19:47:30,IP Address,103.140.129.113,100,18,True,2021-12-09 19:47:30,R_eFdbT9dyduwmPsd,,,,,30.3220062255859375,78.029998779296875,anonymous,EN,,25-40,Caucasian,Male,Yes,,,,,,,,,61b2cdb3-c616-7418-3fb9-7abecf8bc773,2,Uttarakhand,Dehradun
2021-12-09 19:48:19,2021-12-09 19:48:59,IP Address,103.140.129.113,100,40,True,2021-12-09 19:49:00,R_3firQ40eXW3CjX8,,,,,30.3220062255859375,78.029998779296875,anonymous,EN,,18-25,Don't wish to say.,Male,No,Very Unlikely,Other,No,No,Very Unlikely,No,Very Unlikely,Very Unlikely,61b2ce00-26e7-b119-9080-104e529ab0e9,1,Uttarakhand,Dehradun
2021-12-09 19:49:30,2021-12-09 19:49:39,Spam,103.140.129.113,100,9,True,2021-12-09 19:49:40,R_2uZNNNy5CJChL4h,,,,,30.3220062255859375,78.029998779296875,anonymous,EN,,25-40,Caucasian,Male,Yes,,,,,,,,,61b2ce21-01dd-84a8-e731-1a7fc09d7b7c,2,Uttarakhand,Dehradun
2021-12-10 15:12:18,2021-12-10 15:12:28,IP Address,50.216.107.58,100,9,True,2021-12-10 15:12:29,R_ALI7VV0BzIsDnfH,,,,,39.047607421875,-76.49410247802734375,anonymous,EN,,40-60,Asian,Male,Yes,,,,,,,,,61b3dea8-11b5-8788-1650-6e0e45d7de34,2,Maryland,Anne Arundel County
2021-12-10 15:12:07,2021-12-10 15:12:38,IP Address,172.58.224.116,100,31,True,2021-12-10 15:12:39,R_3lzteTNWCEGNsv0,,,,,40.6876983642578125,-73.92669677734375,anonymous,EN,,40-60,Caucasian,Female,Yes,,,,,,,,,61b3de9f-1c2d-2e65-d504-130fc9ab2e4b,2,New York,Kings County
2021-12-10 15:11:47,2021-12-10 15:12:58,IP Address,174.250.212.190,100,71,True,2021-12-10 15:12:58,R_3erbSnSEuvcVd3Z,,,,,38.577392578125,-90.6708984375,anonymous,EN,,25-40,Caucasian,Female,No,Very Likely,"I don’t think the current vaccines are safe.,I don't trust in the way the current vaccines were developed.",No,No,Very Unlikely,No,Very Unlikely,Very Unlikely,61b3dea8-6e64-ecca-932a-67b72b0ef5b7,1,Missouri,Saint Louis County
2021-12-10 15:11:34,2021-12-10 15:13:06,IP Address,174.255.2.113,100,92,True,2021-12-10 15:13:07,R_OP4hdwkB63u0GGt,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,,25-40,Caucasian,Male,No,Very Unlikely,"I am unwilling to get a COVID vaccine.,I don’t think the current vaccines are safe.",No,No,Very Unlikely,No,Very Unlikely,Very Unlikely,61b3dea7-caf7-0e30-c670-50cea8975d1c,1,Kansas,Sedgwick County
2021-12-10 15:12:30,2021-12-10 15:13:17,IP Address,71.64.112.118,100,47,True,2021-12-10 15:13:18,R_307ZsGSc1T5CZ1X,,,,,42.0753021240234375,-80.06710052490234375,anonymous,EN,,25-40,Caucasian,Female,No,Somewhat Likely,I don’t think the current vaccines are safe.,Maybe,No,Unsure,No,Somewhat Likely,Somewhat Likely,61b3defd-6a0b-5e6b-8bc3-70196a400f29,1,Pennsylvania,Erie County
